N,Iterative,Dynamic Programming,Recursive
1,0.000000019,0.000000019,0.000000019
2,0.000000018,0.000000039,0.000000019
3,0.000000018,0.000000042,0.000000020
4,0.000000019,0.000000042,0.000000021
5,0.000000019,0.000000042,0.000000022
6,0.000000018,0.000000042,0.000000026
7,0.000000019,0.000000042,0.000000041
8,0.000000020,0.000000042,0.000000088
9,0.000000019,0.000000043,0.000000126
10,0.000000020,0.000000044,0.000000212
11,0.000000019,0.000000049,0.000000351
12,0.000000020,0.000000046,0.000000575
13,0.000000019,0.000000047,0.000000927
14,0.000000019,0.000000048,0.000001470
15,0.000000019,0.000000056,0.000002475
16,0.000000019,0.000000056,0.000003918
17,0.000000020,0.000000065,0.000007146
18,0.000000020,0.000000066,0.000010848
19,0.000000040,0.000000082,0.000017988
20,0.000000019,0.000000066,0.000027950
21,0.000000020,0.000000072,0.000044440
22,0.000000019,0.000000073,0.000069090
23,0.000000019,0.000000071,0.000111652
24,0.000000019,0.000000072,0.000179137
25,0.000000019,0.000000074,0.000294987
26,0.000000022,0.000000082,0.000469582
27,0.000000020,0.000000079,0.000797682
28,0.000000020,0.000000082,0.001270625
29,0.000000024,0.000000101,0.002041048
30,0.000000020,0.000000099,0.003426097
